#
# Engine name: 15kN Ethalox
# Tue 6. Oct 10:01:18 2020
#
# Lc= 189.42695 mm	 Rc=  65.76221 mm
# R1=  37.28367 mm	 R2= 134.02304 mm
# bc=  30.00000   	 Rt=  24.85578 mm
# Le= 169.91768 mm	 Re=  69.98170 mm
# Rn=   9.49491 mm
# c1=  22.97051   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
  201.64467	   29.13188
  202.00401	   29.27699
  202.36335	   29.42173
  202.72270	   29.56622
  203.08204	   29.71040
  203.44139	   29.85428
  203.80073	   29.99792
  204.16008	   30.14118
  204.51942	   30.28427
  204.87877	   30.42693
  205.23811	   30.56947
  205.59746	   30.71152
  205.95680	   30.85352
  206.31615	   30.99496
  206.67549	   31.13639
  207.03484	   31.27725
  207.39418	   31.41807
  207.75352	   31.55840
  208.11287	   31.69862
  208.47221	   31.83841
  208.83156	   31.97803
  209.19090	   32.11730
  209.55025	   32.25630
  209.90959	   32.39505
  210.26894	   32.53345
  210.62828	   32.67167
  210.98763	   32.80948
  211.34697	   32.94718
  211.70632	   33.08438
  212.06566	   33.22156
  212.42500	   33.35817
  212.78435	   33.49478
  213.14369	   33.63085
  213.50304	   33.76686
  213.86238	   33.90241
  214.22173	   34.03783
  214.58107	   34.17288
  214.94042	   34.30770
  215.29976	   34.44224
  215.65911	   34.57647
  216.01845	   34.71050
  216.37780	   34.84414
  216.73714	   34.97768
  217.09648	   35.11073
  217.45583	   35.24376
  217.81517	   35.37622
  218.17452	   35.50868
  218.53386	   35.64063
  218.89321	   35.77251
  219.25255	   35.90396
  219.61190	   36.03525
  219.97124	   36.16622
  220.33059	   36.29692
  220.68993	   36.42740
  221.04928	   36.55752
  221.40862	   36.68751
  221.76796	   36.81705
  222.12731	   36.94656
  222.48665	   37.07552
  222.84600	   37.20448
  223.20534	   37.33293
  223.56469	   37.46131
  223.92403	   37.58928
  224.28338	   37.71708
  224.64272	   37.84458
  225.00207	   37.97180
  225.36141	   38.09883
  225.72076	   38.22548
  226.08010	   38.35203
  226.43944	   38.47811
  226.79879	   38.60418
  227.15813	   38.72970
  227.51748	   38.85520
  227.87682	   38.98025
  228.23617	   39.10518
  228.59551	   39.22977
  228.95486	   39.35413
  229.31420	   39.47826
  229.67355	   39.60205
  230.03289	   39.72572
  230.39224	   39.84895
  230.75158	   39.97216
  231.11092	   40.09482
  231.47027	   40.21748
  231.82961	   40.33968
  232.18896	   40.46178
  232.54830	   40.58352
  232.90765	   40.70505
  233.26699	   40.82635
  233.62634	   40.94732
  233.98568	   41.06817
  234.34503	   41.18858
  234.70437	   41.30899
  235.06372	   41.42884
