x_coordinate,y_coordinate,P_c,T_wall_inner,T_coolant,P_coolant
0.26561719,0.024886500000000002,2952110.283881061,1045.8630053656425,347.4095128756154,7173070.37021107
0.26613599,0.0248829,2898454.8490097215,1056.9526082240445,347.261120406703,7177401.330237422
0.27063797,0.02601159,1957735.9105472935,1061.6514480096355,345.90875333118623,7216131.305789885
0.27513995999999996,0.02823819,1374339.4633310374,1046.4151663113923,344.4048103407239,7252471.9650608
0.27964195000000003,0.03042561,1055015.5108533856,1029.6291083396704,342.88462448118247,7280620.545344705
0.28414393,0.03257404,845369.9387197399,1013.0719879828343,341.3568236587045,7303189.389101118
0.28864592,0.03468367,696783.2491343,997.2138371394672,339.8257236408737,7321782.8198798355
0.29314791,0.03675468,586470.3728098106,982.2104483643759,338.29406229269097,7337439.914029764
0.29764989000000003,0.03878727,501855.5844322251,968.0996250394983,336.7637088564434,7350863.477801897
0.30215188,0.04078148,435323.6772088562,954.8693198161677,335.23599758930686,7362546.025338335
0.30665386,0.04273765,381955.574705243,942.4810700398016,333.7118627900892,7372843.555871443
0.31115585,0.04465596,338437.8439104718,930.8879710264077,332.1919845175687,7382019.676752121
0.31565784,0.0465366,302455.69493144,920.0396673485031,330.67685660198794,7390274.00467887
0.32015982000000004,0.04837973,272346.6059065882,909.8862184593984,329.16683211453153,7397760.6257244665
0.32466181,0.05018555,246887.426470938,900.3792763129734,327.662141215659,7404600.575885834
0.3291638,0.051954230000000004,225161.19861304027,891.4735662064629,326.16294286159854,7410890.236251497
0.33366577999999997,0.053685949999999996,206468.23974270863,883.126923162652,324.66933055671063,7416707.429328588
0.33816777000000003,0.05538088,190266.82949459984,875.3003237722517,323.18134068251624,7422115.761121444
0.34266975,0.05703921,176131.72271323734,867.9567848987422,321.69898119787973,7427167.721809521
0.34717174,0.0586611,163725.5239983963,861.0620562157806,320.22222555075405,7431907.098744655
0.35167372999999996,0.060246720000000004,152777.39949637197,854.5846627890346,318.751036679149,7436370.700908826
0.35617571,0.06179626,143067.79060801765,848.4959928225362,317.28536292015764,7440589.744584648
0.3606777,0.06330988,134417.41988369444,842.7702947693715,315.82513779482576,7444590.9072574945
0.36517969,0.06478775,126678.50911369268,837.3841500094995,314.3702958054402,7448397.113672851
0.36968167,0.06623004,119728.39165331321,832.3163088019096,312.9207669195069,7452028.204596055
0.37418366,0.06763692,113464.5487189332,827.54744034853,311.47646943583726,7455501.473842591
0.37868564,0.06900855,107800.79713082389,823.0600387905606,310.03733269707385,7458832.030620427
0.38318763,0.07034510000000001,102664.18466027254,818.8381169297322,308.60327279069895,7462033.197798855
0.38768962,0.07164673,97992.69124874266,814.8671950256771,307.17421568539845,7465116.733657915
0.3921916,0.07291362,93733.22279547245,811.1340384157697,305.7500863737269,7468093.0854916675
0.39669359,0.07414591,89840.29429492784,807.6268610000411,304.33080551808206,7470971.582442058
0.40119558,0.07534376000000001,86274.59026829444,803.471999914862,302.9163018749571,7473760.568583092
0.40569756,0.07650722,83002.34185768315,798.9265288374268,301.50893059671495,7476467.518566842
0.41019954999999997,0.07763657,79993.550913705,794.7135954742744,300.1102717507847,7479099.22502706
0.41470153,0.07873195,77222.39278831228,790.8161483497252,298.7198716349753,7481661.792059931
0.41920352000000005,0.07979354,74666.14109161736,787.2185144935279,297.3372848558194,7484160.79498089
0.42370551,0.08082147999999999,72304.90929857509,783.9066992683288,295.9620992985732,7486601.297280815
0.42820749,0.08181593,70121.11530275001,780.8679202231015,294.5939214120843,7488987.935457815
0.43270948,0.08277704,68099.23056771253,778.0906178575965,293.2323684632019,7491324.9792858595
0.43721147000000005,0.08370497,66225.4640791656,775.564235188449,291.87708343425294,7493616.347744923
0.44171345,0.08459971000000001,64487.87920636685,773.2797854606115,290.5277357808865,7495865.64428175
0.44621544,0.08546152,62875.331740023634,770.9693337718072,289.18398780010676,7498076.255502873
0.45019862,0.08619687999999999,61544.667717201875,767.3586696413772,288.0,7500000.0
